﻿规则名称,类别,严重级别,规则说明/条件,审核要点,需法规依据,是否启用
评标报告必备要素完整性,法规,否决项,仅基于提供的评审报告等材料，核查报告是否载明法定必备内容要素，确保评审过程在文档层面可追溯、结论可复核（不涉及线下评标委员会组成合法性等现场核验）。,是否载明评标委员会成员名单及签字；是否包含开标记录、评标标准与方法说明；是否记录各投标人评分或评审意见及排序；废标或否决投标是否说明具体理由与依据；是否包含中标候选人推荐意见及推荐人数；是否有评标委员会全体成员签字确认的页,是,是
评审报告否决投标理由载明与具体性,通用质量,重要,核查提供的评审报告中否决（废标）投标是否逐条载明具体理由与依据、理由是否可复核（仅审文档内容，不评判线下否决决定的实体合法性）。,否决投标是否逐条引用招标文件相应条款；否决理由是否具体、可复核，而非笼统表述；是否存在应否决未否决或不应否决而否决的明显矛盾；否决是否经评标委员会集体确认（报告中是否载明）,否,是
评审打分异常与一致性,通用质量,重要,基于提供的各评委打分结构化数据，识别打分畸高畸低、趋同或协商评分等异常（纯数据分析，不涉及评委线下行为）。,各评委对同投标人打分是否存在明显畸高畸低（离群）；是否存在不同投标人得分高度趋同、缺乏区分度；主观分评分档次是否与评分标准对应；是否存在替补评委未独立评分的情形,否,是
评审报告候选人排序与评标办法一致性,一致性,重要,比对提供的评审报告，核查中标候选人排序是否与报告载明的评标办法一致（仅审文档内部一致性）。,中标候选人是否按综合得分由高到低（或经评审最低价）排序；推荐中标候选人人数是否与评标办法一致；是否明确第一中标候选人为排序首位；排序依据是否与评标办法表述一致,否,是
定标结果与评审报告推荐候选人一致性,一致性,否决项,比对提供的定标结果结构化数据与评审报告，核查确定的中标人是否来自报告推荐的中标候选人（仅审提供数据的一致性，不审线下定标决策合法性）。,确定的中标人是否来自评审报告推荐的中标候选人；是否存在推荐候选人之外的主体被定为中标人；定标理由是否引用评审报告结论,否,是
定标结果与招标文件授标办法一致性,一致性,否决项,比对提供的定标结果与招标文件，核查授标方式是否与招标文件载明的一致（仅审提供材料一致性）。,定标是否遵循招标文件约定的中标人确定方式；是否存在以谈判、二次报价等方式实质改变中标结果（材料中是否体现）；是否对中标候选人提出招标文件未规定的额外条件,否,是
定标与评标文档时间逻辑一致性,一致性,重要,比对提供的定标审批材料与评标报告签署日期，核查时间逻辑是否合理（仅审文档日期，不审线下流程时效）。,定标审批日期是否晚于评标报告签署日期；定标是否在中标候选人公示之前完成（材料中日期是否一致）；时间节点是否存在倒置或补签痕迹,否,是
中标人资格条件材料有效性,资格性,重要,基于提供的中标人资格证明材料，核查其营业执照、资质等是否仍在有效期内、仍满足招标文件门槛（仅审提供材料，不审线下实质履约能力）。,中标人营业执照、资质是否仍在有效期内（材料中体现）；是否仍满足招标文件列明的资格门槛；是否存在材料中显示的重大变化影响履约,否,是
三方文档投标人名称一致,一致性,否决项,比对评审报告、定标结果、中标通知书（如有）中的中标人名称，核查是否一致。,评审报告推荐的中标候选人与定标结果中标人是否一致；定标中标人与中标通知书中标人是否一致；投标人名称、统一社会信用代码在各文档是否一致,否,是
中标金额一致性,一致性,否决项,核查中标价在评审报告、定标结果、中标通知书中是否完全一致。,评审报告中标价与定标结果中标价是否一致；中标通知书金额与定标结果金额是否一致；大小写金额、含税口径是否一致,否,是
工期与交付期一致性,一致性,重要,核查工期或交付期在各文档是否一致。,评审报告承诺工期与定标结果是否一致；中标通知书工期与投标文件承诺是否一致,否,是
与招标文件实质性要求一致,一致性,重要,核查定标结果是否偏离招标文件实质性要求（基于提供材料）。,中标人是否仍满足招标文件实质性条款；是否存在定标阶段新增招标文件未载明的义务（材料中是否体现）,否,是
评审报告附件完整性,格式,重要,核查正文引用的评审报告及支撑材料是否齐全（基于提供附件）。,正文提及的评审报告、打分表是否全部提供；附件编号与正文引用是否对应；是否存在应附未附的评审底稿,否,是
评审报告签字盖章规范,格式,否决项,核查提供的评审报告签字盖章是否齐全、形式规范（仅审文档形式，不审线下签字真实性）。,评审报告是否逐页盖章或加盖骑缝章；签字盖章是否清晰、无遗漏；公章名称与招标人、代理机构是否一致,否,是
评审报告格式规范,通用质量,一般,评审报告格式应规范统一。,章节编号、目录、页码是否完整对应；表格是否有表头、表名，结构完整；格式是否符合单位模板要求,否,是
评审报告数据准确性,通用质量,重要,报告内数据、金额、日期应准确一致。,金额单位、大小写是否统一；日期格式是否统一且逻辑合理；评分汇总与明细是否一致、无计算错误,否,是
错别字与表述规范,通用质量,一般,评审报告文字应准确、无错别字。,是否存在形近字、音近字错别字（如保证金与保障金）；专业术语使用是否规范统一；语句是否通顺、无歧义,否,是
附件引用一致性,通用质量,一般,正文与附件内容应一致。,正文数据是否与附件表格一致；附件内容是否与正文描述匹配；是否存在附件缺失或错放,否,是
